file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,1,css,2bc96f7f,allysontingg,2025-04-10,21:03:54,-07:00,2025-04-10T21:03:54-07:00,0,6
style.css,2,css,3b096322,allysontingg,2025-04-17,17:17:49,-07:00,2025-04-17T17:17:49-07:00,0,32
style.css,3,css,2bc96f7f,allysontingg,2025-04-10,21:03:54,-07:00,2025-04-10T21:03:54-07:00,0,33
style.css,4,css,3b096322,allysontingg,2025-04-17,17:17:49,-07:00,2025-04-17T17:17:49-07:00,0,18
style.css,5,css,3b096322,allysontingg,2025-04-17,17:17:49,-07:00,2025-04-17T17:17:49-07:00,0,0
style.css,6,css,3b096322,allysontingg,2025-04-17,17:17:49,-07:00,2025-04-17T17:17:49-07:00,0,0
style.css,7,css,3b096322,allysontingg,2025-04-17,17:17:49,-07:00,2025-04-17T17:17:49-07:00,0,26
style.css,8,css,3b096322,allysontingg,2025-04-17,17:17:49,-07:00,2025-04-17T17:17:49-07:00,0,14
style.css,9,css,3b096322,allysontingg,2025-04-17,17:17:49,-07:00,2025-04-17T17:17:49-07:00,0,18
style.css,10,css,3b096322,allysontingg,2025-04-17,17:17:49,-07:00,2025-04-17T17:17:49-07:00,0,9
style.css,11,css,3b096322,allysontingg,2025-04-17,17:17:49,-07:00,2025-04-17T17:17:49-07:00,0,11
style.css,12,css,3b096322,allysontingg,2025-04-17,17:17:49,-07:00,2025-04-17T17:17:49-07:00,0,14
style.css,13,css,3b096322,allysontingg,2025-04-17,17:17:49,-07:00,2025-04-17T17:17:49-07:00,0,20
style.css,14,css,3b096322,allysontingg,2025-04-17,17:17:49,-07:00,2025-04-17T17:17:49-07:00,0,0
style.css,15,css,3b096322,allysontingg,2025-04-17,17:17:49,-07:00,2025-04-17T17:17:49-07:00,0,7
style.css,16,css,3b096322,allysontingg,2025-04-17,17:17:49,-07:00,2025-04-17T17:17:49-07:00,0,13
style.css,17,css,3b096322,allysontingg,2025-04-17,17:17:49,-07:00,2025-04-17T17:17:49-07:00,0,0
style.css,18,css,2bc96f7f,allysontingg,2025-04-10,21:03:54,-07:00,2025-04-10T21:03:54-07:00,0,0
style.css,19,css,2bc96f7f,allysontingg,2025-04-10,21:03:54,-07:00,2025-04-10T21:03:54-07:00,0,0
style.css,20,css,458a9dd2,allysontingg,2025-04-03,17:13:34,-07:00,2025-04-03T17:13:34-07:00,0,5
style.css,21,css,3b096322,allysontingg,2025-04-17,17:17:49,-07:00,2025-04-17T17:17:49-07:00,0,0
style.css,22,css,458a9dd2,allysontingg,2025-04-03,17:13:34,-07:00,2025-04-03T17:13:34-07:00,0,44
style.css,23,css,458a9dd2,allysontingg,2025-04-03,17:13:34,-07:00,2025-04-03T17:13:34-07:00,0,43
style.css,24,css,458a9dd2,allysontingg,2025-04-03,17:13:34,-07:00,2025-04-03T17:13:34-07:00,0,1
style.css,25,css,3b096322,allysontingg,2025-04-17,17:17:49,-07:00,2025-04-17T17:17:49-07:00,0,22
style.css,26,css,2bc96f7f,allysontingg,2025-04-10,21:03:54,-07:00,2025-04-10T21:03:54-07:00,0,0
style.css,27,css,2bc96f7f,allysontingg,2025-04-10,21:03:54,-07:00,2025-04-10T21:03:54-07:00,0,55
style.css,28,css,2bc96f7f,allysontingg,2025-04-10,21:03:54,-07:00,2025-04-10T21:03:54-07:00,0,15
style.css,29,css,2bc96f7f,allysontingg,2025-04-10,21:03:54,-07:00,2025-04-10T21:03:54-07:00,0,19
style.css,30,css,2bc96f7f,allysontingg,2025-04-10,21:03:54,-07:00,2025-04-10T21:03:54-07:00,0,13
style.css,31,css,3b096322,allysontingg,2025-04-17,17:17:49,-07:00,2025-04-17T17:17:49-07:00,0,31
style.css,32,css,2bc96f7f,allysontingg,2025-04-10,21:03:54,-07:00,2025-04-10T21:03:54-07:00,0,0
style.css,33,css,2bc96f7f,allysontingg,2025-04-10,21:03:54,-07:00,2025-04-10T21:03:54-07:00,0,3
style.css,34,css,2bc96f7f,allysontingg,2025-04-10,21:03:54,-07:00,2025-04-10T21:03:54-07:00,0,17
style.css,35,css,2bc96f7f,allysontingg,2025-04-10,21:03:54,-07:00,2025-04-10T21:03:54-07:00,0,8
style.css,36,css,2bc96f7f,allysontingg,2025-04-10,21:03:54,-07:00,2025-04-10T21:03:54-07:00,0,17
style.css,37,css,2bc96f7f,allysontingg,2025-04-10,21:03:54,-07:00,2025-04-10T21:03:54-07:00,0,1
style.css,38,css,2bc96f7f,allysontingg,2025-04-10,21:03:54,-07:00,2025-04-10T21:03:54-07:00,0,0
style.css,39,css,2bc96f7f,allysontingg,2025-04-10,21:03:54,-07:00,2025-04-10T21:03:54-07:00,0,4
style.css,40,css,3b096322,allysontingg,2025-04-17,17:17:49,-07:00,2025-04-17T17:17:49-07:00,0,40
style.css,41,css,3b096322,allysontingg,2025-04-17,17:17:49,-07:00,2025-04-17T17:17:49-07:00,0,0
